	{
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -127, -126, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -122, -125, -126, -125, -128, -126, -126, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -127, -128, -128, -125, -121, -120, -119, -120, -121, -119, -125, -128, -127, -128, -123, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -126, -79, 45, 127, 127, 127, 127, 110, 2, 3, -82, -123, -124, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -125, -128, 30, 124, 127, 127, 127, 127, 127, 127, 127, 127, 124, 39, -76, -125, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -127, -72, 114, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 111, -76, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -119, -29, 109, 117, 116, 89, 17, 18, 32, 50, 127, 127, 126, 127, 127, 62, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -122, 56, 120, 117, 120, -75, -127, -128, -122, -113, 58, 124, 125, 126, 127, -11, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -81, 96, 122, 117, 88, -99, -128, -122, -122, -107, 79, 121, 123, 121, 74, -57, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -109, 65, 120, 119, 67, -108, -127, -127, -74, 94, 122, 122, 120, 125, -29, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -123, -81, 107, 119, 127, -12, -96, -40, 60, 127, 126, 125, 114, -38, -109, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -124, -108, 65, 121, 127, -23, 70, 127, 127, 125, 127, 91, -85, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -3, 121, 124, 126, 127, 127, 127, 113, 36, -79, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -127, -128, 65, 118, 123, 127, 126, 127, 114, 29, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -8, 119, 125, 122, 125, 113, 28, -120, -124, -124, -125, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -127, -128, -128, -128, -127, -127, -127, -128, -38, 112, 126, 124, 125, 127, 106, -60, -127, -124, -122, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -127, -128, -128, -128, -128, -34, 116, 123, 117, 124, 127, 127, 127, 112, -81, -122, -126, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -127, -128, -128, -124, -126, 98, 119, 120, 75, -31, 83, 124, 127, 121, -39, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -128, -124, -128, -6, 124, 113, 93, -94, -34, 127, 127, 123, 63, -122, -122, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -126, -128, -128, -124, 113, 122, 85, -44, 20, 108, 125, 122, 127, -56, -126, -126, -127, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -126, -126, -63, 121, 121, 126, 124, 127, 124, 126, 126, 87, -96, -120, -122, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -126, -128, -128, -128, -13, 124, 126, 127, 127, 127, 127, 89, -12, -95, -123, -121, -125, -126, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -70, 120, 127, 127, 57, 127, 24, -97, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -126, -124, -126, -128, -122, -128, -128, -124, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -123, -128, -125, -128, -128, -126, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -127, -128, -128, -128, -126, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
	},

