	{
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -1, 112, 121, 55, -23, -24, -20, -12, -45, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, 86, 122, 119, 127, 127, 127, 127, 127, 122, 74, -51, -127, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -122, -14, 125, 126, 127, 127, 127, 127, 127, 127, 127, 127, -17, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -125, -94, 83, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21, -127, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -124, -125, -124, -45, 23, 26, 44, 127, 127, 127, 127, 127, 67, -115, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, 28, 127, 127, 127, 127, 98, -104, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, 15, 127, 127, 127, 127, 20, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -110, 77, 127, 127, 127, 127, -68, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, 8, 126, 127, 127, 127, 119, -64, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, 91, 125, 127, 127, 127, 127, 46, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -127, -128, -102, -7, 127, 127, 127, 127, 127, -32, -106, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -127, -2, 96, 127, 127, 127, 127, 127, 62, -114, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, 41, 126, 126, 125, 127, 127, 64, -51, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -126, -118, -118, -46, 99, 127, 127, 127, 127, 94, 10, -118, -128, -116, -122, -126, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -126, -121, -65, 108, 127, 127, 127, 117, 95, -86, -128, -128, -128, -126, -120, -105, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -50, 127, 125, 121, 122, 105, -75, -128, -128, -128, -128, -124, -5, 72, 11, -73, -120, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -125, -49, 127, 127, 125, 121, 123, 116, 118, 116, 111, 112, 120, 123, 119, 115, 124, -104, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -124, -57, 126, 124, 127, 127, 127, 124, 126, 119, 122, 122, 127, 127, 123, 125, 123, 27, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -125, -103, 58, 126, 127, 126, 127, 127, 125, 127, 126, 122, 127, 127, 127, 125, 110, -58, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -126, -128, -127, -109, 65, 127, 127, 123, 123, 127, 120, 122, 125, 127, 127, 127, 127, -68, -125, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -123, -123, -122, -126, -128, -128, -127, -126, -128, -124, -128, -128, -109, -114, -117, -123, -126, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
	},

